,title,metadata_visibility,rev_number,status_changed,eprint_status,abstract,subjects,eprintid,date_type,publisher,documents,ispublished,refereed,uri,full_text_status,lastmod,userid,datestamp,issn,creators,publication,date,dir,type,divisions
0,Jender dalam politi partai partai: studi tentang pengarustamaan jender dalam politik partai-partai di provinsi lampung,show,7,2020-02-05 04:08:17,archive,Similarity,['AC'],17891,published,Bappeda Provinsi Lampung,"[{'eprintid': 17891, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 31017, 'main': '11. Similarity Dr. Ari D Jender_Dalam_Politik_Partai.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-02-05 03:17:25', 'filename': '11. Similarity Dr. Ari D Jender_Dalam_Politik_Partai.pdf', 'hash': 'daa4ba4988c54a9e4ffc6a847bdf134d', 'fileid': 150683, 'mime_type': 'application/pdf', 'filesize': 4760185, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/150683', 'objectid': 31017}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31017', 'rev_number': 1}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/17891,public,2020-02-05 04:08:17,880,2020-02-05 04:08:17,1829-9296,"[{'name': {'honourific': None, 'family': 'Darmastuti', 'lineage': None, 'given': 'Ari'}}]",Jurnal Sains dan Teknologi Lampung,2008,disk0/00/01/78/91,article,['FISIP3']
1,Jender dalam politi partai partai: studi tentang pengarustamaan jender dalam politik partai-partai di provinsi lampung.,show,7,2020-02-05 04:07:36,archive,Hasil Penilaian Sejawat Sebidang Atau Hasil Peer Review Karya Ilmiah: Jurnal Nasional Tak Akreditasi,['AC'],17890,published,Bappeda Provinsi Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 17890, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32953', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/185925', 'objectid': 32953, 'mtime': '2020-05-15 07:31:32', 'hash_type': 'MD5', 'hash': 'ca74079bf853f408b8e7609087932235', 'filename': '11. Ari D Reviewer Jender Dalam Politik.pdf', 'fileid': 185925, 'mime_type': 'application/pdf', 'filesize': 675629, 'datasetid': 'document'}], 'docid': 32953, 'main': '11. Ari D Reviewer Jender Dalam Politik.pdf'}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/17890,public,2020-05-15 07:31:32,880,2020-02-05 04:07:36,1829-9296,"[{'name': {'given': 'Ari', 'lineage': None, 'honourific': None, 'family': 'Darmastuti'}}]",Jurnal Sains dan Teknologi Lampung,2008,disk0/00/01/78/90,article,['FISIP3']
