,rev_number,metadata_visibility,title,subjects,eprint_status,status_changed,eprintid,full_text_status,uri,refereed,ispublished,documents,publisher,datestamp,userid,lastmod,dir,date,creators,divisions,book_title,type,publication
0,7,show,Pelaksanaan Perjanjian Perjanjian Kredit Angsuran Sistem Gadai Mensejahterakan Masyarakat,['K1'],archive,2022-04-01 01:03:36,40909,public,http://repository.lppm.unila.ac.id/id/eprint/40909,FALSE,pub,"[{'main': 'negara hukum kesejahteraan.pdf', 'docid': 162298, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/454815', 'objectid': 162298, 'filesize': 2956841, 'datasetid': 'document', 'mtime': '2022-03-31 07:13:21', 'hash_type': 'MD5', 'hash': '02a827c1c13e97a3cb7ed5ef9202550d', 'filename': 'negara hukum kesejahteraan.pdf', 'fileid': 454815, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162298', 'eprintid': 40909, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Hukum Unila,2022-04-01 01:03:36,707,2022-04-01 01:03:36,disk0/00/04/09/09,2013,"[{'name': {'given': 'APRILIANTI', 'honourific': None, 'family': 'APRILIANTI', 'lineage': None}}]",['FH2'],Negara Hukum Kesejahteraan,book_section,
1,7,show,Perlindungan Hukum Korban Tindak Pidana Perkosaan dalam Perspektif Hukum Pidana di Indonesia,['K1'],archive,2022-07-21 01:14:55,43534,public,http://repository.lppm.unila.ac.id/id/eprint/43534,FALSE,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 43534, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165470', 'docid': 165470, 'main': 'Studi Penegakan dan Pengembangan Hukum.pdf', 'files': [{'datasetid': 'document', 'filesize': 6349225, 'fileid': 475062, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-21 00:36:27', 'hash': '2bd3116786bfc723c6fd22a81e56f223', 'filename': 'Studi Penegakan dan Pengembangan Hukum.pdf', 'objectid': 165470, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475062'}]}]",Universitas Lampung,2022-07-21 01:14:55,900,2022-07-21 01:14:55,disk0/00/04/35/34,2013,"[{'name': {'lineage': None, 'family': 'Diah Gustiniati Maulani', 'honourific': None, 'given': 'Diah Gustiniati Maulani'}}]",['FH2'],Studi Penegakan dan Pembangunan Hukum,book_section,
2,6,show,Konflik Kewenangan Antara Penyidik Polri Dan Polhut Dalam Rangka Penanggulangan Tindak Pidana Pencurian Kayu,['K1'],archive,2022-07-06 07:41:50,43019,public,http://repository.lppm.unila.ac.id/id/eprint/43019,FALSE,pub,"[{'files': [{'filesize': 278260, 'datasetid': 'document', 'hash': '70022b36404cd93a3022670a846280a8', 'filename': 'KOnflik Kewenangan 2013.pdf', 'mtime': '2022-07-06 07:22:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 470843, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470843', 'objectid': 164873}], 'docid': 164873, 'main': 'KOnflik Kewenangan 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164873', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 43019, 'mime_type': 'application/pdf', 'language': 'en'}]",Fakultas Hukum Universitas Syiah Kuala,2022-07-06 07:41:50,188,2022-07-06 07:41:50,disk0/00/04/30/19,2013,"[{'name': {'given': 'Rinaldy Amrullah', 'family': 'Rinaldy Amrullah', 'honourific': None, 'lineage': None}}]",['FH2'],,article,Kanun Jurnal Ilmu Hukum
