,id_number,dir,date,creators,issn,publication,divisions,type,refereed,full_text_status,uri,publisher,documents,number,ispublished,datestamp,lastmod,userid,date_type,eprintid,metadata_visibility,volume,rev_number,title,official_url,abstract,subjects,related_url,eprint_status,status_changed
0,http://jurnal.fp.unila.ac.id/index.php/JIPT/issue/view/66,disk0/00/01/87/24,2014,"[{'name': {'given': 'Rama', 'lineage': None, 'honourific': None, 'family': 'Dony'}}, {'name': {'given': 'Farida', 'honourific': None, 'family': 'Fathul', 'lineage': None}}, {'name': {'given': 'Erwanto', 'honourific': None, 'family': 'Erwanto', 'lineage': None}}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,['FP27'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18724,Jurusan Peternakan Unila,"[{'placement': 1, 'security': 'public', 'eprintid': 18724, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 157244, 'hash': '38322c245aff2c8dd95242b0beace91d', 'filename': 'PENGARUH IMBANGAN HIJAUAN BERBANDING KONSENTRAT TERHADAP KECERNAAN BAHAN KERING, KECERNAAN BAHAN ORGANIK DAN KECERNAAN PROTEIN PADA KAMBING PE JANTAN DI LINGKUNGAN PANAS.pdf', 'hash_type': 'MD5', 'mtime': '2020-03-16 04:21:36', 'datasetid': 'document', 'filesize': 72316, 'objectid': 31904, 'uri': 'http://repository.lppm.unila.ac.id/id/file/157244'}], 'docid': 31904, 'main': 'PENGARUH IMBANGAN HIJAUAN BERBANDING KONSENTRAT TERHADAP KECERNAAN BAHAN KERING, KECERNAAN BAHAN ORGANIK DAN KECERNAAN PROTEIN PADA KAMBING PE JANTAN DI LINGKUNGAN PANAS.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31904', 'pos': 1, 'format': 'text'}]",1,pub,2020-03-17 01:34:35,2020-03-17 01:34:35,1019,published,18724,show,2,6,"PENGARUH IMBANGAN HIJAUAN BERBANDING KONSENTRAT TERHADAP KECERNAAN BAHAN KERING, KECERNAAN BAHAN ORGANIK DAN KECERNAAN PROTEIN PADA KAMBING PE JANTAN DI LINGKUNGAN PANAS",http://jurnal.fp.unila.ac.id/index.php/JIPT/search/search?simpleQuery=2016&searchField=query,"ABSTRACT 
 
This research aims to find out the influence of equilibration forage comparing concentrates to dry digestibility, organic digestibility and protein digestibility on male PE goat in the heat environment. Goats that were used as the sample were 3 male PE goast  with body weight range (20.5 to 26.7 kg). This research used draft Longitude Cage Latin (RBSL), consisted of three treatments (three periods), R1: 85% forage: 15% concentrate, R2: 70% forage: concentrate 30%, and R3: 55% forage: concentrate 45% . The water during the research is given by ad libitum. The results showed that: the equilibration forage comparing concentrates was not significant (P> 0.05) on dry digestibility, organic digestibility and protein digestibility. 
 
Key word: forage, concentrate, digestibility, PE goat.",['SF'],"[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT/article/view/520', 'type': 'pub'}]",archive,2020-03-17 01:34:35
1,http://jurnal.fp.unila.ac.id/index.php/JIPT/issue/view/67,disk0/00/01/87/25,2014,"[{'name': {'given': 'Febri', 'lineage': None, 'honourific': None, 'family': 'Puspitasari'}}, {'name': {'given': 'Farida', 'honourific': None, 'family': 'Fathul', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Tantalo', 'honourific': None, 'given': 'Sahrio'}}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,['FP27'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18725,Jurusan Peternakan Unila,"[{'eprintid': 18725, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'v PENGARUH DOSIS UREA DALAM AMONIASI DAUN NENAS VARIETAS Smooth cayene TERHADAP KADAR BAHAN KERING, ABU, DAN SERAT KASAR.pdf', 'docid': 31905, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/157251', 'objectid': 31905, 'hash_type': 'MD5', 'mtime': '2020-03-16 04:41:23', 'hash': 'e553108ee757556a436398fee9e1e1dc', 'filename': 'v PENGARUH DOSIS UREA DALAM AMONIASI DAUN NENAS VARIETAS Smooth cayene TERHADAP KADAR BAHAN KERING, ABU, DAN SERAT KASAR.pdf', 'fileid': 157251, 'mime_type': 'application/pdf', 'filesize': 106805, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31905'}]",3,pub,2020-03-17 01:34:46,2020-03-17 01:34:46,1019,published,18725,show,2,6,"PENGARUH DOSIS UREA DALAM AMONIASI DAUN NENAS VARIETAS Smooth cayene TERHADAP KADAR BAHAN KERING, ABU, DAN SERAT KASAR",http://jurnal.fp.unila.ac.id/index.php/JIPT/search/search?simpleQuery=2016&searchField=query,"ABSTRACT 
 
Lampung Province as a livestock area resulted in needed for food supplies that available on follow throughout the years, so the attempted of feed based on agriculture waste industry, one of them is pineapple leaves. However, the pineapple leaves in a fresh condition have a high crude fiber content and low protein content. Therefore, the pineapple leaves will be ammoniateed with urea addition at different dosages in order to lessen the high fiber content. This study aimed to determine the effect of urea and the best dosage on ammoniation of pineapple leaves of Smooth cayene variety on organoleptic (color, texture, smell), dry matter, ash, and crude fiber content.  This study was held in the Laboratory of Animal Nutrition and Feed, Department of Animal Husbandry, Faculty of Agriculture, Lampung University and pineapple leaves samples obtained from PT Great Giant Pineapple, Terbanggi Besar, Central Lampung. The treatments using a Completely Randomized Design (CRD) with four treatments and three replications. The treatments consist of urea addition at a dosage of 0%; 1,5%; 3% and 4,5%. The observation data were analyzed by using variance analysis with significant level of 5% and or 1%, and will be followed by the Least Significant Difference test (LSD) if the value of the variance analysis showed the significant result.  The results of this study showed that urea addition at different dossages had no significant effect (P>0,05) on organoleptic (color, texture, smell) and crude fiber content of pineapple leaves, but significantly (P<0,05) to the ash content and was highly significant (P<0,01) to the dry matter. The best treatment on ammoniation of pineapple leaves of Smooth cayenne variety is urea addition at dosage of 1,5%. 
 
Keywords : ammoniation, pineapple leaves, dry matter, ash content, crude fiber content",['SF'],[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT/article/view/503'}],archive,2020-03-17 01:34:46
